start,end,speaker
0.03096875,12.09659375,SPEAKER_02
12.349718750000001,27.79034375,SPEAKER_01
28.07721875,33.98346875,SPEAKER_02
33.98346875,49.002218750000004,SPEAKER_03
49.322843750000004,53.79471875,SPEAKER_02
54.149093750000006,55.752218750000004,SPEAKER_00
56.54534375,61.30409375000001,SPEAKER_00
62.080343750000004,64.05471875,SPEAKER_00
64.94909375,69.13409375,SPEAKER_02
69.13409375,71.29409375,SPEAKER_00
72.15471875,79.12409375,SPEAKER_00
79.95096875,81.50346875000001,SPEAKER_00
82.31346875,86.85284375,SPEAKER_00
87.83159375000001,94.49721875,SPEAKER_01
94.49721875,97.66971875,SPEAKER_03
98.15909375000001,106.03971875,SPEAKER_00
106.71471875,109.14471875000001,SPEAKER_00
109.97159375000001,116.53596875000001,SPEAKER_02
116.53596875000001,121.64909375,SPEAKER_03
121.83471875000001,125.51346875,SPEAKER_01
125.81721875000001,149.42534375,SPEAKER_02
149.89784375000002,150.79221875000002,SPEAKER_01
151.43346875,152.69909375,SPEAKER_00
153.57659375,157.47471875000002,SPEAKER_02
